Test Case,Input,Start Time,End Time,Latency (s)
1,The Earth is the largest planet in the solar system,1729780267.6836638,1729780267.75205,0.06838607788085938
1,The Earth is the largest planet in the solar system,1729780267.752085,1729780267.769506,0.01742100715637207
1,The Earth is the largest planet in the solar system,1729780267.769517,1729780267.78446,0.014943122863769531
1,The Earth is the largest planet in the solar system,1729780267.784472,1729780267.799077,0.014605045318603516
1,The Earth is the largest planet in the solar system,1729780267.7990882,1729780267.8137448,0.014656543731689453
1,The Earth is the largest planet in the solar system,1729780267.813757,1729780267.8282619,0.01450490951538086
1,The Earth is the largest planet in the solar system,1729780267.828274,1729780267.842707,0.014432907104492188
1,The Earth is the largest planet in the solar system,1729780267.84272,1729780267.85727,0.014549970626831055
1,The Earth is the largest planet in the solar system,1729780267.857281,1729780267.871613,0.014332056045532227
1,The Earth is the largest planet in the solar system,1729780267.871624,1729780267.885921,0.014297008514404297
1,The Earth is the largest planet in the solar system,1729780267.885932,1729780267.90089,0.01495814323425293
1,The Earth is the largest planet in the solar system,1729780267.900901,1729780267.915473,0.014571905136108398
1,The Earth is the largest planet in the solar system,1729780267.915485,1729780267.929813,0.0143280029296875
1,The Earth is the largest planet in the solar system,1729780267.929824,1729780267.944545,0.014720916748046875
1,The Earth is the largest planet in the solar system,1729780267.944556,1729780267.958848,0.014292001724243164
1,The Earth is the largest planet in the solar system,1729780267.958859,1729780267.9734411,0.014582157135009766
1,The Earth is the largest planet in the solar system,1729780267.973453,1729780267.987765,0.014312028884887695
1,The Earth is the largest planet in the solar system,1729780267.987776,1729780268.0022159,0.014439821243286133
1,The Earth is the largest planet in the solar system,1729780268.002228,1729780268.017528,0.01530003547668457
1,The Earth is the largest planet in the solar system,1729780268.017539,1729780268.031712,0.014173030853271484
1,The Earth is the largest planet in the solar system,1729780268.031724,1729780268.045868,0.014143943786621094
1,The Earth is the largest planet in the solar system,1729780268.0458791,1729780268.059957,0.014077901840209961
1,The Earth is the largest planet in the solar system,1729780268.059969,1729780268.07434,0.014371156692504883
1,The Earth is the largest planet in the solar system,1729780268.074352,1729780268.088514,0.014162063598632812
1,The Earth is the largest planet in the solar system,1729780268.088525,1729780268.1028118,0.01428675651550293
1,The Earth is the largest planet in the solar system,1729780268.102824,1729780268.117152,0.0143280029296875
1,The Earth is the largest planet in the solar system,1729780268.117163,1729780268.131169,0.01400613784790039
1,The Earth is the largest planet in the solar system,1729780268.13118,1729780268.145289,0.014108896255493164
1,The Earth is the largest planet in the solar system,1729780268.145301,1729780268.160854,0.015552997589111328
1,The Earth is the largest planet in the solar system,1729780268.160867,1729780268.175516,0.014648914337158203
1,The Earth is the largest planet in the solar system,1729780268.1755269,1729780268.189908,0.014381170272827148
1,The Earth is the largest planet in the solar system,1729780268.189919,1729780268.2041779,0.014258861541748047
1,The Earth is the largest planet in the solar system,1729780268.2041888,1729780268.21855,0.014361143112182617
1,The Earth is the largest planet in the solar system,1729780268.2185621,1729780268.232773,0.014210939407348633
1,The Earth is the largest planet in the solar system,1729780268.232785,1729780268.247582,0.014796972274780273
1,The Earth is the largest planet in the solar system,1729780268.247593,1729780268.2618182,0.014225244522094727
1,The Earth is the largest planet in the solar system,1729780268.2618291,1729780268.27629,0.01446080207824707
1,The Earth is the largest planet in the solar system,1729780268.276302,1729780268.293237,0.016934871673583984
1,The Earth is the largest planet in the solar system,1729780268.2932532,1729780268.31006,0.016806840896606445
1,The Earth is the largest planet in the solar system,1729780268.310071,1729780268.3253279,0.015256881713867188
1,The Earth is the largest planet in the solar system,1729780268.3253388,1729780268.3417659,0.016427040100097656
1,The Earth is the largest planet in the solar system,1729780268.3417778,1729780268.3573709,0.01559305191040039
1,The Earth is the largest planet in the solar system,1729780268.3573818,1729780268.372777,0.015395164489746094
1,The Earth is the largest planet in the solar system,1729780268.372788,1729780268.3874922,0.014704227447509766
